binarize,average,distribution,sample_size,stat,pvalue
True,True,diff_mean,10.0,-0.030979277586968373,0.3646
True,True,diff_mean,10.0,0.18194353045893738,0.1174
True,True,diff_mean,10.0,0.6595837521340039,0.0078
True,True,diff_mean,10.0,0.48933889559744276,0.0385
True,True,diff_mean,10.0,0.24206933092733915,0.1014
True,True,diff_mean,10.0,0.42426406871192834,0.0453
True,True,diff_mean,10.0,0.7526178090063805,0.0089
True,True,diff_mean,10.0,0.37439370783195974,0.0341
True,True,diff_mean,10.0,0.2811734356479584,0.1118
True,True,diff_mean,10.0,-0.1280368799328963,0.9394
True,True,diff_mean,10.0,-0.11999999999999994,0.8261
True,True,diff_mean,10.0,0.19384870282678904,0.1598
True,True,diff_mean,10.0,0.2811127713994908,0.0596
True,True,diff_mean,10.0,0.5508837503538657,0.0328
True,True,diff_mean,10.0,0.3909422219401763,0.0543
True,True,diff_mean,10.0,-0.008183170883849556,0.426
True,True,diff_mean,10.0,0.19784069247077427,0.0724
True,True,diff_mean,10.0,0.4317930191528439,0.0534
True,True,diff_mean,10.0,0.5804878135627954,0.0269
True,True,diff_mean,10.0,-0.026236168166797632,0.5198
True,True,diff_mean,10.0,0.30605611959777185,0.0624
True,True,diff_mean,10.0,0.14673601110035148,0.1197
True,True,diff_mean,10.0,0.792527768505459,0.0071
True,True,diff_mean,10.0,0.3694761224247334,0.0636
True,True,diff_mean,10.0,-0.015944820103581836,0.4851
True,True,diff_mean,10.0,0.08241633836921339,0.2636
True,True,diff_mean,10.0,0.6490931818090563,0.0332
True,True,diff_mean,10.0,0.07552632224670197,0.237
True,True,diff_mean,10.0,0.9784115157054817,0.0082
True,True,diff_mean,10.0,0.19194103202122034,0.1781
True,True,diff_mean,10.0,-0.07740702698132082,0.6689
True,True,diff_mean,10.0,0.31363692614570277,0.0837
True,True,diff_mean,10.0,0.4623093623582196,0.0443
True,True,diff_mean,10.0,0.5751004922639987,0.0563
True,True,diff_mean,10.0,0.4857344056310388,0.03
True,True,diff_mean,10.0,0.2911293570236578,0.0952
True,True,diff_mean,10.0,0.5463695972893302,0.0509
True,True,diff_mean,10.0,-0.08751899489873667,0.6235
True,True,diff_mean,10.0,0.04017897181094538,0.3646
True,True,diff_mean,10.0,0.6090242276671226,0.0144
True,True,diff_mean,10.0,0.32500575766433715,0.0749
True,True,diff_mean,10.0,0.5576856543219888,0.0521
True,True,diff_mean,10.0,0.58799514906003,0.0233
True,True,diff_mean,10.0,0.42979399409308916,0.0475
True,True,diff_mean,10.0,0.9037981182225291,0.0078
True,True,diff_mean,10.0,0.5026246899500342,0.0391
True,True,diff_mean,10.0,0.22470061810291458,0.0717
True,True,diff_mean,10.0,0.6949212343697818,0.0165
True,True,diff_mean,10.0,0.2022425817073894,0.0658
