binarize,average,distribution,sample_size,stat,pvalue
True,True,equal,10.0,0.5947886892886077,0.0259
True,True,equal,10.0,-0.09093290224504087,1.0
True,True,equal,10.0,-0.12139246230832205,0.6857
True,True,equal,10.0,0.0807095564125294,0.226
True,True,equal,10.0,0.058565160708227273,0.2902
True,True,equal,10.0,0.05482939948619423,0.3991
True,True,equal,10.0,0.14235115820654254,0.1997
True,True,equal,10.0,0.11986139752820407,0.2022
True,True,equal,10.0,-0.16494578797505347,0.9778
True,True,equal,10.0,-0.015990053726670873,0.6671
True,True,equal,10.0,-0.058897799190332036,0.7096
True,True,equal,10.0,0.06546536707079731,0.2248
True,True,equal,10.0,-0.03651483716701106,0.4394
True,True,equal,10.0,-0.09842712069938833,0.6669
True,True,equal,10.0,0.05477225575051653,0.5042
True,True,equal,10.0,-0.046992685268061336,0.4048
True,True,equal,10.0,0.033180075816559955,0.2778
True,True,equal,10.0,-0.10366421106976292,0.7291
True,True,equal,10.0,0.3218558065671554,0.0856
True,True,equal,10.0,-0.08882053623194076,0.5451
True,True,equal,10.0,-0.12168483037521455,0.7922
True,True,equal,10.0,-0.12596733145955472,0.9298
True,True,equal,10.0,-0.06311581859864486,0.3848
True,True,equal,10.0,0.3659625273556997,0.06
True,True,equal,10.0,-0.09400193421607672,0.5874
True,True,equal,10.0,0.017864740025262397,0.2581
True,True,equal,10.0,0.02659743560544937,0.3323
True,True,equal,10.0,0.14569855927715472,0.1424
True,True,equal,10.0,0.2835855992098471,0.0697
True,True,equal,10.0,-0.13598002073001694,1.0
True,True,equal,10.0,-0.05022371476368182,0.5322
True,True,equal,10.0,0.11587867289140286,0.0987
True,True,equal,10.0,-9.054861598275577e-17,0.5622
True,True,equal,10.0,0.17056057308448835,0.1208
True,True,equal,10.0,-0.14750042012712042,1.0
True,True,equal,10.0,0.10323708024175304,0.1715
True,True,equal,10.0,-0.14966826350840048,0.7658
True,True,equal,10.0,-0.04850712500726715,0.6459
True,True,equal,10.0,-0.03144854510165753,0.4065
True,True,equal,10.0,-0.1601538046588704,0.7608
True,True,equal,10.0,-0.11035678391665636,0.5847
True,True,equal,10.0,0.415394772356861,0.0832
True,True,equal,10.0,0.21082146164422996,0.1477
True,True,equal,10.0,-0.037435064886346514,0.4114
True,True,equal,10.0,-0.04670993664969127,0.5024
True,True,equal,10.0,-0.02893456933022472,0.4516
True,True,equal,10.0,-0.14330215072633734,0.7821
True,True,equal,10.0,-0.12898007411770418,0.7119
True,True,equal,10.0,-0.06172133998483674,0.5221
True,True,equal,10.0,-0.023319662230093963,0.3524
True,True,same_mean,10.0,0.37909441416393774,0.0851
True,True,same_mean,10.0,0.08241633836921337,0.3099
True,True,same_mean,10.0,-0.12983676343516462,1.0
True,True,same_mean,10.0,-0.14974025954538647,0.7567
True,True,same_mean,10.0,-0.1848946903283809,0.9105
True,True,same_mean,10.0,0.022360679774997914,0.4947
True,True,same_mean,10.0,-0.046051773387200096,0.4949
True,True,same_mean,10.0,-0.12108110291933608,0.7112
True,True,same_mean,10.0,-0.1121634751658948,0.6372
True,True,same_mean,10.0,-0.09197570345536717,0.7432
True,True,same_mean,10.0,-0.01125087900925994,0.2726
True,True,same_mean,10.0,-0.08727302166695489,0.3449
True,True,same_mean,10.0,-0.09147743679249673,0.7356
True,True,same_mean,10.0,0.1633530242337611,0.1631
True,True,same_mean,10.0,0.5153550020112181,0.0492
True,True,same_mean,10.0,-0.16641005886756874,1.0
True,True,same_mean,10.0,0.16690459207925576,0.2644
True,True,same_mean,10.0,0.238083608480822,0.0888
True,True,same_mean,10.0,-0.14085388504985738,0.9076
True,True,same_mean,10.0,-0.06654104630506996,0.6208
True,True,same_mean,10.0,-0.0833238089795291,0.5546
True,True,same_mean,10.0,0.16949389237114754,0.154
True,True,same_mean,10.0,0.06159761717648875,0.1807
True,True,same_mean,10.0,0.10434983894999013,0.2843
True,True,same_mean,10.0,-0.061025715325873225,0.68
True,True,same_mean,10.0,0.0772374916382341,0.36700000000000005
True,True,same_mean,10.0,-0.05692099788303075,0.4948
True,True,same_mean,10.0,-0.12825814226551785,1.0
True,True,same_mean,10.0,0.375495944186688,0.048
True,True,same_mean,10.0,0.5570860145311552,0.0451
True,True,same_mean,10.0,-0.08674723979493605,0.7101
True,True,same_mean,10.0,-0.1455213750217998,1.0
True,True,same_mean,10.0,0.18085816934646548,0.1568
True,True,same_mean,10.0,-0.1636363636363635,0.9381
True,True,same_mean,10.0,-0.0155542754209564,0.5554
True,True,same_mean,10.0,0.19438172897617334,0.2576
True,True,same_mean,10.0,-0.16166020109648707,0.8785
True,True,same_mean,10.0,2.08309739768532e-16,0.3956
True,True,same_mean,10.0,0.4963746898257601,0.0411
True,True,same_mean,10.0,0.5850292521939326,0.0165
True,True,same_mean,10.0,-0.056031552572822066,0.5298
True,True,same_mean,10.0,-0.14605614782326198,1.0
True,True,same_mean,10.0,0.4337098862175538,0.0455
True,True,same_mean,10.0,-0.017066403719657033,0.4332
True,True,same_mean,10.0,0.5894218239093756,0.0175
True,True,same_mean,10.0,-0.007694837640638625,0.5012
True,True,same_mean,10.0,0.01072112534837801,0.3119
True,True,same_mean,10.0,-0.08453639444116158,0.6023
True,True,same_mean,10.0,0.1970675428333039,0.147
True,True,same_mean,10.0,0.060633906259083076,0.3801
True,True,equal,20.0,-0.044671211433806285,0.7127
True,True,equal,20.0,-0.046160290520124485,0.7272
True,True,equal,20.0,-0.048242328078583134,0.7501
True,True,equal,20.0,-0.047296680239806536,0.6
True,True,equal,20.0,-0.028840977226073237,0.4795
True,True,equal,20.0,0.06666814067981508,0.1518
True,True,equal,20.0,-0.06425540076418512,0.8796
True,True,equal,20.0,0.03139405367894926,0.2448
True,True,equal,20.0,0.003719827080026148,0.3888
True,True,equal,20.0,-0.0596349164931249,0.6709999999999999
True,True,equal,20.0,-0.04445240298053548,0.7968
True,True,equal,20.0,0.11456910337138415,0.1266
True,True,equal,20.0,0.061137931876550485,0.1573
True,True,equal,20.0,-0.021839242761523468,0.5464
True,True,equal,20.0,-0.052155707752593934,0.7219
True,True,equal,20.0,0.04005193293709964,0.214
True,True,equal,20.0,-0.09508170905501598,0.9812
True,True,equal,20.0,0.289192046997756,0.0164
True,True,equal,20.0,-0.06609049275132213,0.8265
True,True,equal,20.0,0.02073129190350697,0.3177
True,True,equal,20.0,0.007228591216964295,0.3166
True,True,equal,20.0,0.019274918075982916,0.2397
True,True,equal,20.0,-0.09242024711617684,0.9727
True,True,equal,20.0,-0.012444565543028077,0.426
True,True,equal,20.0,-0.03197308662265675,0.4687
True,True,equal,20.0,-0.06250185575288487,0.9289
True,True,equal,20.0,-0.044117584289131116,0.7627
True,True,equal,20.0,0.0017621829345470625,0.3202
True,True,equal,20.0,0.14602871872296536,0.0648
True,True,equal,20.0,-0.06579764313808169,0.8417
True,True,equal,20.0,-0.025268094846942053,0.4403
True,True,equal,20.0,0.015842687681459137,0.3126
True,True,equal,20.0,-0.0714734749120993,0.9102
True,True,equal,20.0,-0.02921380607864967,0.4803
True,True,equal,20.0,-0.02498319214277429,0.6692
True,True,equal,20.0,0.14594595239499067,0.0689
True,True,equal,20.0,0.12023994439052395,0.0732
True,True,equal,20.0,-0.017904924896093098,0.5635
True,True,equal,20.0,0.012763524851222322,0.3574
True,True,equal,20.0,0.11270852347907565,0.0932
True,True,equal,20.0,-0.05946456918313388,1.0
True,True,equal,20.0,0.035463043710764065,0.2394
True,True,equal,20.0,0.03032392174315617,0.2662
True,True,equal,20.0,-0.026961158325058097,0.6266
True,True,equal,20.0,0.031439178385522314,0.2755
True,True,equal,20.0,-0.07028845828593087,0.8676
True,True,equal,20.0,0.11326350462298965,0.1059
True,True,equal,20.0,-0.027702503675876542,0.5719
True,True,equal,20.0,0.01747837303339739,0.3175
True,True,equal,20.0,-0.07886991716894534,0.9544
True,True,same_mean,20.0,-0.010914244494841787,0.273
True,True,same_mean,20.0,-0.0657138174981535,0.9449
True,True,same_mean,20.0,-0.006276183879422137,0.4347
True,True,same_mean,20.0,-0.01604848221160415,0.5031
True,True,same_mean,20.0,0.22064731389720055,0.0357
True,True,same_mean,20.0,-0.029260451613684613,0.6444
True,True,same_mean,20.0,-0.04592387297476242,0.7625
True,True,same_mean,20.0,0.030720285685757038,0.2454
True,True,same_mean,20.0,0.2011405010649463,0.038
True,True,same_mean,20.0,0.08933583938656259,0.1104
True,True,same_mean,20.0,0.00966234939601248,0.3148
True,True,same_mean,20.0,-0.0612863006674209,0.8695
True,True,same_mean,20.0,0.16031106902657555,0.055999999999999994
True,True,same_mean,20.0,0.08843207750383479,0.0982
True,True,same_mean,20.0,0.07638779348025662,0.1373
