data 	1	2	3	4	5	6	7	8	9	10	11	12	13	14
data	isocortex_L	pallium_L	subpallium_L	diencephalon_L	midbrain_L	hindbrain_L	white_matter_L	isocortex_R	pallium_R	subpallium_R	diencephalon_R	midbrain_R	hindbrain_R	white_matter_R
isocortex_L	2288101.0	570644.0	290832.0	55248.0	80724.0	39608.0	740504.0	1174061.0	306330.0	486226.0	312216.0	77905.0	48584.0	789889.0
pallium_L	570644.0	946822.0	741740.0	195348.0	133364.0	178315.0	1107924.0	140378.0	400646.0	324364.0	158972.0	50553.0	54837.0	519924.0
subpallium_L	290832.0	741740.0	526137.0	258199.0	204409.0	267034.0	1112290.0	243642.0	422955.0	478376.0	235917.0	52733.0	55095.0	676527.0
diencephalon_L	55248.0	195348.0	258199.0	326549.0	257877.0	189540.0	596459.0	92009.0	159653.0	168939.0	322844.0	104547.0	73010.0	468864.0
midbrain_L	80724.0	133364.0	204409.0	257877.0	206368.0	337373.0	463841.0	76976.0	59701.0	78362.0	144501.0	245343.0	195368.0	288040.0
hindbrain_L	39608.0	178315.0	267034.0	189540.0	337373.0	1299254.0	1079425.0	24872.0	43707.0	51659.0	74698.0	191507.0	765922.0	529874.0
white_matter_L	740504.0	1107924.0	1112290.0	596459.0	463841.0	1079425.0	1796762.0	555608.0	571656.0	633548.0	505614.0	225447.0	572931.0	1526503.0
isocortex_R	1174061.0	140378.0	243642.0	92009.0	76976.0	24872.0	555608.0	2100156.0	564321.0	383311.0	244978.0	131657.0	67270.0	972389.0
pallium_R	306330.0	400646.0	422955.0	159653.0	59701.0	43707.0	571656.0	564321.0	890110.0	760938.0	216514.0	132068.0	146058.0	1193978.0
subpallium_R	486226.0	324364.0	478376.0	168939.0	78362.0	51659.0	633548.0	383311.0	760938.0	612327.0	274884.0	190334.0	228156.0	1272385.0
diencephalon_R	312216.0	158972.0	235917.0	322844.0	144501.0	74698.0	505614.0	244978.0	216514.0	274884.0	365928.0	238901.0	166341.0	693169.0
midbrain_R	77905.0	50553.0	52733.0	104547.0	245343.0	191507.0	225447.0	131657.0	132068.0	190334.0	238901.0	247281.0	363512.0	469651.0
hindbrain_R	48584.0	54837.0	55095.0	73010.0	195368.0	765922.0	572931.0	67270.0	146058.0	228156.0	166341.0	363512.0	1274994.0	1135885.0
white_matter_R	789889.0	519924.0	676527.0	468864.0	288040.0	529874.0	1526503.0	972389.0	1193978.0	1272385.0	693169.0	469651.0	1135885.0	2128935.0
