data 	1	2	3	4	5	6	7	8	9	10	11	12	13	14
data	isocortex_L	pallium_L	subpallium_L	diencephalon_L	midbrain_L	hindbrain_L	white_matter_L	isocortex_R	pallium_R	subpallium_R	diencephalon_R	midbrain_R	hindbrain_R	white_matter_R
isocortex_L	2200536.0	694084.0	339542.0	44475.0	61612.0	22602.0	736238.0	76518.0	73101.0	86239.0	12571.0	5978.0	2817.0	84566.0
pallium_L	694084.0	1058212.0	811963.0	174581.0	76222.0	123607.0	1068747.0	42001.0	257294.0	190760.0	78332.0	21131.0	24336.0	317265.0
subpallium_L	339542.0	811963.0	508661.0	213379.0	124456.0	236710.0	1052597.0	51636.0	222065.0	229835.0	58626.0	7900.0	15516.0	248306.0
diencephalon_L	44475.0	174581.0	213379.0	291101.0	165036.0	190866.0	428429.0	19032.0	77258.0	72297.0	224172.0	70928.0	64186.0	259179.0
midbrain_L	61612.0	76222.0	124456.0	165036.0	103337.0	299151.0	279902.0	5831.0	18760.0	11997.0	67547.0	158906.0	157277.0	137930.0
hindbrain_L	22602.0	123607.0	236710.0	190866.0	299151.0	1262050.0	930581.0	7537.0	23436.0	20756.0	55922.0	152818.0	792798.0	418478.0
white_matter_L	736238.0	1068747.0	1052597.0	428429.0	279902.0	930581.0	1417765.0	69505.0	323183.0	259440.0	201138.0	126934.0	437686.0	807479.0
isocortex_R	76518.0	42001.0	51636.0	19032.0	5831.0	7537.0	69505.0	2128995.0	623589.0	316709.0	138355.0	60749.0	57631.0	787319.0
pallium_R	73101.0	257294.0	222065.0	77258.0	18760.0	23436.0	323183.0	623589.0	932313.0	753508.0	208394.0	89997.0	112968.0	1172532.0
subpallium_R	86239.0	190760.0	229835.0	72297.0	11997.0	20756.0	259440.0	316709.0	753508.0	510318.0	236504.0	102867.0	228688.0	1097922.0
diencephalon_R	12571.0	78332.0	58626.0	224172.0	67547.0	55922.0	201138.0	138355.0	208394.0	236504.0	322687.0	152010.0	160901.0	472378.0
midbrain_R	5978.0	21131.0	7900.0	70928.0	158906.0	152818.0	126934.0	60749.0	89997.0	102867.0	152010.0	137960.0	299860.0	268473.0
hindbrain_R	2817.0	24336.0	15516.0	64186.0	157277.0	792798.0	437686.0	57631.0	112968.0	228688.0	160901.0	299860.0	1299783.0	1040925.0
white_matter_R	84566.0	317265.0	248306.0	259179.0	137930.0	418478.0	807479.0	787319.0	1172532.0	1097922.0	472378.0	268473.0	1040925.0	1697332.0
