data 	1	2	3	4	5	6	7	8	9	10	11	12	13	14
data	isocortex_L	pallium_L	subpallium_L	diencephalon_L	midbrain_L	hindbrain_L	white_matter_L	isocortex_R	pallium_R	subpallium_R	diencephalon_R	midbrain_R	hindbrain_R	white_matter_R
isocortex_L	2096402.0	630704.0	322342.0	77303.0	88145.0	136409.0	849754.0	934571.0	289519.0	261594.0	121643.0	22807.0	34876.0	493790.0
pallium_L	630704.0	813507.0	589732.0	129850.0	93022.0	128016.0	831831.0	147387.0	381429.0	262117.0	101634.0	29159.0	48084.0	419150.0
subpallium_L	322342.0	589732.0	315938.0	167098.0	119520.0	200213.0	747852.0	113882.0	258289.0	260161.0	98819.0	26812.0	67772.0	364700.0
diencephalon_L	77303.0	129850.0	167098.0	244012.0	185198.0	194230.0	416672.0	38571.0	81801.0	90518.0	226913.0	89801.0	77867.0	296699.0
midbrain_L	88145.0	93022.0	119520.0	185198.0	147046.0	282609.0	301699.0	18821.0	28195.0	31965.0	79300.0	234051.0	189829.0	182647.0
hindbrain_L	136409.0	128016.0	200213.0	194230.0	282609.0	1107180.0	946210.0	17959.0	35304.0	57733.0	77746.0	199652.0	750469.0	491152.0
white_matter_L	849754.0	831831.0	747852.0	416672.0	301699.0	946210.0	1330056.0	413974.0	402938.0	381410.0	289214.0	178204.0	538422.0	1070181.0
isocortex_R	934571.0	147387.0	113882.0	38571.0	18821.0	17959.0	413974.0	1806115.0	496647.0	306512.0	133908.0	76761.0	84078.0	795552.0
pallium_R	289519.0	381429.0	258289.0	81801.0	28195.0	35304.0	402938.0	496647.0	732410.0	579908.0	130061.0	74634.0	100161.0	827730.0
subpallium_R	261594.0	262117.0	260161.0	90518.0	31965.0	57733.0	381410.0	306512.0	579908.0	354785.0	163220.0	81679.0	168700.0	778547.0
diencephalon_R	121643.0	101634.0	98819.0	226913.0	79300.0	77746.0	289214.0	133908.0	130061.0	163220.0	298841.0	175974.0	168541.0	452992.0
midbrain_R	22807.0	29159.0	26812.0	89801.0	234051.0	199652.0	178204.0	76761.0	74634.0	81679.0	175974.0	152077.0	297399.0	271206.0
hindbrain_R	34876.0	48084.0	67772.0	77867.0	189829.0	750469.0	538422.0	84078.0	100161.0	168700.0	168541.0	297399.0	1154113.0	1003894.0
white_matter_R	493790.0	419150.0	364700.0	296699.0	182647.0	491152.0	1070181.0	795552.0	827730.0	778547.0	452992.0	271206.0	1003894.0	1452974.0
