data 	1	2	3	4	5	6	7	8	9	10	11	12	13	14
data	isocortex_L	pallium_L	subpallium_L	diencephalon_L	midbrain_L	hindbrain_L	white_matter_L	isocortex_R	pallium_R	subpallium_R	diencephalon_R	midbrain_R	hindbrain_R	white_matter_R
isocortex_L	1742556.0	524839.0	219200.0	32929.0	58797.0	20296.0	681433.0	1144728.0	426533.0	420085.0	210791.0	55265.0	46259.0	656178.0
pallium_L	524839.0	742543.0	587561.0	157804.0	123762.0	156315.0	920814.0	149000.0	528995.0	324640.0	139836.0	60364.0	65017.0	539061.0
subpallium_L	219200.0	587561.0	363911.0	217441.0	201956.0	228589.0	841441.0	141308.0	442281.0	347082.0	128558.0	42826.0	47266.0	459838.0
diencephalon_L	32929.0	157804.0	217441.0	311485.0	245620.0	172498.0	503213.0	20920.0	124464.0	95599.0	236485.0	111774.0	87620.0	301606.0
midbrain_L	58797.0	123762.0	201956.0	245620.0	160096.0	269267.0	425109.0	16669.0	66418.0	42500.0	108054.0	225566.0	187830.0	199782.0
hindbrain_L	20296.0	156315.0	228589.0	172498.0	269267.0	1186408.0	970113.0	10176.0	52687.0	32718.0	85339.0	181026.0	857408.0	539988.0
white_matter_L	681433.0	920814.0	841441.0	503213.0	425109.0	970113.0	1489596.0	452366.0	593597.0	452682.0	334216.0	204550.0	565731.0	1212216.0
isocortex_R	1144728.0	149000.0	141308.0	20920.0	16669.0	10176.0	452366.0	1836926.0	540213.0	327226.0	98118.0	73539.0	41994.0	827266.0
pallium_R	426533.0	528995.0	442281.0	124464.0	66418.0	52687.0	593597.0	540213.0	729868.0	607775.0	173272.0	128530.0	133126.0	1007625.0
subpallium_R	420085.0	324640.0	347082.0	95599.0	42500.0	32718.0	452682.0	327226.0	607775.0	419568.0	213064.0	189762.0	201817.0	1010758.0
diencephalon_R	210791.0	139836.0	128558.0	236485.0	108054.0	85339.0	334216.0	98118.0	173272.0	213064.0	353714.0	232929.0	151692.0	555046.0
midbrain_R	55265.0	60364.0	42826.0	111774.0	225566.0	181026.0	204550.0	73539.0	128530.0	189762.0	232929.0	205024.0	283060.0	399208.0
hindbrain_R	46259.0	65017.0	47266.0	87620.0	187830.0	857408.0	565731.0	41994.0	133126.0	201817.0	151692.0	283060.0	1249392.0	1092464.0
white_matter_R	656178.0	539061.0	459838.0	301606.0	199782.0	539988.0	1212216.0	827266.0	1007625.0	1010758.0	555046.0	399208.0	1092464.0	1738289.0
