ROI,stat,pval
0,0.754901037064813,1e-06
1,0.5296064735831902,1e-06
2,0.4588744844963216,1e-06
3,0.3330424344469023,4.7e-05
4,0.668373498297183,1e-06
5,0.43838646480561116,1e-06
6,0.58984954305029,1e-06
7,0.5330170009561479,1e-06
8,0.6005726443374824,1e-06
9,0.5810031942022774,1e-06
10,0.5599043713401277,1e-06
11,0.687054488180333,1e-06
12,0.48172531200156343,1e-06
13,0.5980334926100216,1e-06
14,0.7662605911907314,1e-06
15,0.5124413203771708,1e-06
16,0.6534421561479947,1e-06
17,0.04768643527022269,0.144973
18,0.5759212716672123,1e-06
19,0.7506122270481632,1e-06
20,0.5254234635190822,1e-06
21,0.16492282453645796,0.020112
22,0.20345147116272563,0.005421
23,0.7591589930897155,1e-06
24,0.6756840991433359,1e-06
25,0.4415722960071421,1e-06
26,0.6465516691507682,1e-06
27,0.5760663553280433,1e-06
28,0.5542902450156751,1e-06
29,0.43949010389621135,1e-06
30,0.41184999867042493,1e-06
31,0.6462931155409799,1e-06
32,0.5064407660174686,1e-06
33,0.6092031752380386,1e-06
34,0.4043357100369278,1e-06
35,0.59493667587548,1e-06
36,0.6981436861772242,1e-06
37,0.7764699788220824,1e-06
38,0.31594928285257423,4.7e-05
39,0.16149729680026387,0.023155
40,0.6195293921918608,1e-06
41,0.4853013427387086,1e-06
42,0.40673276534157676,1e-06
43,0.2064823883088844,0.002814
44,0.17980299937106878,0.017683
45,0.03139810257170572,0.213842
46,0.43567742649728314,1e-06
47,0.44281649082019725,1e-06
48,0.23206698376346552,0.003098
49,0.4383669415156238,1e-06
50,0.7959323978488966,1e-06
51,0.3918468337202656,6e-06
52,0.5728702092912754,1e-06
53,0.7091069702075169,1e-06
54,0.4975313844420258,1e-06
55,0.3115282160333295,7e-05
56,0.6307927011606905,1e-06
57,0.4036809242529014,6e-06
58,0.5534774669617997,1e-06
59,0.39854240416786113,1e-06
60,0.7385144046005694,1e-06
61,0.7759550677662597,1e-06
62,0.6635319057376595,1e-06
63,0.7793916706203996,1e-06
64,0.6405505026360362,1e-06
65,0.8134705888883206,1e-06
66,0.47970990059387636,1e-06
67,0.44613148435287153,1e-06
68,0.6408340076038419,1e-06
69,0.2898186380645972,0.000107
70,0.6957315652737514,1e-06
71,0.7218645200165961,1e-06
72,0.5922720250089019,1e-06
73,0.6816084828053015,1e-06
74,0.5784259818361254,1e-06
75,0.487187440217087,1e-06
76,0.7131582214432192,1e-06
77,0.7202879000968735,1e-06
78,0.608554892615977,1e-06
79,0.5903302845223711,1e-06
80,0.6608252820446273,1e-06
81,0.5352591894136678,1e-06
82,0.8379380867170111,1e-06
83,0.4549917581397325,1e-06
84,0.6755147924799061,1e-06
85,0.6717799402371915,1e-06
86,0.6321253011836359,1e-06
87,0.6714256515311371,1e-06
88,0.6517444711503338,1e-06
89,0.4280191900203455,3e-06
90,0.2944558241460885,0.000186
91,0.3387851507326078,1.3e-05
92,0.4635895408908524,1e-06
93,0.3232457520914143,5.6e-05
94,0.3828291508279535,1e-06
95,0.5122976934416504,1e-06
96,0.5972441469463794,1e-06
97,0.27890352645142563,0.000285
98,0.3568404841660882,2.5e-05
99,0.3436411016369679,2.1e-05
100,0.3396346657462647,2.9e-05
101,0.4085341223261269,1e-06
102,0.350888587179027,3.4e-05
103,0.6147241597527433,1e-06
104,0.5567242350819835,1e-06
105,0.46479270852660326,1e-06
106,0.354010856009857,4e-06
107,0.4300205698695975,1e-06
108,0.5922920054734868,1e-06
109,0.5682151081219295,1e-06
110,0.6630557989059788,1e-06
111,0.07986180186647139,0.072406
112,0.37701639409698934,1.3e-05
113,0.24239248691902754,0.001027
114,0.4575643354592397,1e-06
115,0.37878240197760377,1e-06
116,0.4387089043112971,2e-06
117,0.6366653423335201,1e-06
118,0.5790583374603856,1e-06
119,0.8421634724617568,1e-06
120,0.8309279754921427,1e-06
121,0.6210141636355847,1e-06
122,0.7986043788462442,1e-06
123,0.5549846923447689,1e-06
124,0.25316294776040027,0.001087
125,0.6738003250504412,1e-06
126,0.917891695497576,1e-06
127,0.10780621056299791,0.035288
128,0.4212055070796223,1e-06
129,0.31477967909210697,8.7e-05
130,0.3961352425666534,6e-06
131,0.6104188781084785,1e-06
132,0.772846274041239,1e-06
133,0.4803732666360772,1e-06
134,0.4586313948149524,1e-06
135,0.29394131899773707,0.00013
136,0.5313242636237541,1e-06
137,0.3218901697367008,4.3e-05
138,0.4723282562796225,1e-06
139,0.12721204933814093,0.023429
140,0.44901273642531747,1e-06
141,0.570183502928857,1e-06
142,0.63723834521523,1e-06
143,0.40387409191763,1e-06
144,0.5000161657186166,1e-06
145,0.344864076591955,2.5e-05
146,0.5321607449393764,1e-06
147,0.9025656778208583,1e-06
148,0.2555108788068105,0.000951
149,0.4024149821544069,1e-06
150,0.5881776183559886,1e-06
151,0.6441237208584183,1e-06
152,0.649272804430181,1e-06
153,0.491897222065692,1e-06
154,0.6388198811359205,1e-06
155,0.5547505969058528,1e-06
156,0.6655159985972642,1e-06
157,0.6253849087626789,1e-06
158,0.531048375200472,1e-06
159,0.8530877138922601,1e-06
160,0.5766226461045626,1e-06
161,0.36060918227853556,7e-06
162,0.4615716463451521,1e-06
163,0.622198276507356,1e-06
164,0.5321361596785927,1e-06
165,0.3980933533139624,1e-06
166,0.6747022209128596,1e-06
167,0.5512232040118589,1e-06
168,0.5346173824471497,1e-06
169,0.13387187667582504,0.028339
170,0.5867991913287773,1e-06
171,0.4341992959813723,1e-06
172,0.6369621843009898,1e-06
173,0.5016261083255336,1e-06
174,0.7190428547663528,1e-06
175,0.6221263047517243,1e-06
176,0.6513702600463831,1e-06
177,0.6533148836840297,1e-06
178,0.43237735282515927,1e-06
179,0.5721868151058187,1e-06
180,0.7253537521541357,1e-06
181,0.5727810391812439,1e-06
182,0.8254991702373928,1e-06
183,0.09756791972366145,0.048426
184,0.5678202733541997,1e-06
185,0.6834278046333864,1e-06
186,0.6784445613609679,1e-06
187,0.251051993149342,0.000613
188,0.24978740417668083,0.001069
189,0.6775267151821383,1e-06
190,0.5438400403248813,1e-06
191,0.24068750786791523,0.001515
192,0.5788036772393412,1e-06
193,0.6156962547746639,1e-06
194,0.6702702100354437,1e-06
195,0.3598616723009145,1.3e-05
196,0.45808430667725214,1e-06
197,0.4973704228456232,1e-06
198,0.5601990239244733,1e-06
199,0.5953109911657044,1e-06
200,0.443347616578865,1e-06
201,0.6708374902362405,1e-06
202,0.5552370242745319,1e-06
203,0.8092606541633154,1e-06
204,0.5750636841280754,1e-06
205,0.4504511923160596,1e-06
206,0.7891810793346188,1e-06
